Month,Year,Location,Latitude,Longitude,State,MinTemp,MaxTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
8,2010,Adelaide,-34.9285,138.6007,SA,8.2,15.3,4.14,45.5,70.4,56,1017.7,1016.2,11.3,14.3
9,2010,Adelaide,-34.9285,138.6007,SA,9.2,16.9,2.41,38.6,65.6,55.6,1021.4,1019.3,13.1,15.5
10,2010,Adelaide,-34.9285,138.6007,SA,11.7,21.4,0.94,38.6,54.3,43.4,1020.2,1018.6,16.3,19.9
11,2010,Adelaide,-34.9285,138.6007,SA,14.1,24.3,0.77,34.8,55.1,42.9,1018.1,1016.2,18.3,22.5
12,2010,Adelaide,-34.9285,138.6007,SA,16,26.7,2.81,41.7,53.4,39.6,1011.7,1010.1,20.2,24.8
1,2011,Adelaide,-34.9285,138.6007,SA,18.3,30.6,0.56,34.9,51.4,36.8,1011.4,1009.7,22.9,29
2,2011,Adelaide,-34.9285,138.6007,SA,18.6,29.5,0.55,35.9,55.3,40.7,1015.9,1013.9,22.1,28
3,2011,Adelaide,-34.9285,138.6007,SA,15.2,24.6,2.82,35.9,64.1,49.4,1017.2,1015.7,18.2,23.4
5,2011,Adelaide,-34.9285,138.6007,SA,10,18,1.99,32.2,66.5,54.8,1023.3,1021,13.8,16.8
6,2011,Adelaide,-34.9285,138.6007,SA,8.4,16.5,1.17,35.8,69.2,56.4,1024.5,1022.3,12,15.5
7,2011,Adelaide,-34.9285,138.6007,SA,8.5,15.6,2.27,36.3,75.5,56.7,1022.4,1020.6,11.1,15
8,2011,Adelaide,-34.9285,138.6007,SA,9.7,17.4,4.2,36.5,70.5,53.2,1020.9,1018.7,13.3,16.7
9,2011,Adelaide,-34.9285,138.6007,SA,10.2,20.8,1.56,41.3,51.6,41.1,1018.8,1016.4,15.6,19.3
10,2011,Adelaide,-34.9285,138.6007,SA,13,22.1,1.37,38,57.2,46.2,1018.8,1017.1,16.8,20.3
11,2011,Adelaide,-34.9285,138.6007,SA,14.7,26.8,0.84,39.8,55.3,36.7,1015.7,1013.6,19.8,25.1
12,2011,Adelaide,-34.9285,138.6007,SA,16.2,27.6,0.61,39.7,47.8,33.1,1014.7,1012.5,20.7,26.2
1,2012,Adelaide,-34.9285,138.6007,SA,18.6,30.6,0.64,44.9,48.1,34.1,1014,1012.2,23.1,29
2,2012,Adelaide,-34.9285,138.6007,SA,17.3,28.1,0.89,37.4,55,37.5,1013.8,1012.3,21.1,26.7
3,2012,Adelaide,-34.9285,138.6007,SA,15.1,26.2,2.07,38.4,60.5,38.7,1016.8,1015,18.5,24.9
4,2012,Adelaide,-34.9285,138.6007,SA,12.2,24.1,0.96,32.4,53.3,40.3,1022.4,1020.1,18.5,22.8
5,2012,Adelaide,-34.9285,138.6007,SA,9.5,18.8,2.39,34.3,62.9,54.5,1024.4,1022.1,13.8,17.4
6,2012,Adelaide,-34.9285,138.6007,SA,7.8,15.2,4.86,36,77.1,60.2,1022.6,1020.5,10.7,14.2
7,2012,Adelaide,-34.9285,138.6007,SA,7.8,15.3,2.14,32.8,77.1,56.9,1024.5,1022.6,10.7,14.4
8,2012,Adelaide,-34.9285,138.6007,SA,7.8,16,2.34,43.3,70.6,56.5,1019.2,1017.1,11.6,14.8
9,2012,Adelaide,-34.9285,138.6007,SA,9.8,19.8,0.73,41.6,53,46.9,1018.2,1016,15.1,18.3
10,2012,Adelaide,-34.9285,138.6007,SA,10.8,23.5,0.67,38.6,49.2,36,1020.4,1018,16.8,22
11,2012,Adelaide,-34.9285,138.6007,SA,15.1,27.7,0.58,40.5,43.7,31.2,1016.3,1014.2,20.5,26.2
1,2013,Adelaide,-34.9285,138.6007,SA,16.8,31.3,0.43,38.3,45.1,27.9,1013.7,1011.8,22.4,29.7
3,2013,Adelaide,-34.9285,138.6007,SA,18.2,28.8,0.78,40.2,54.4,36.8,1016.6,1014.9,21.1,27.2
4,2013,Adelaide,-34.9285,138.6007,SA,13.4,23.9,1.33,33.4,60.8,43.7,1021,1018.7,17.8,22.8
5,2013,Adelaide,-34.9285,138.6007,SA,12.1,20.7,2.37,33.9,64.7,47.2,1020.7,1018.3,15.9,19.7
6,2013,Adelaide,-34.9285,138.6007,SA,8.8,16.6,2.73,32.4,77.7,59.4,1021.9,1020.1,12,15.9
7,2013,Adelaide,-34.9285,138.6007,SA,9.1,16.2,3.85,39.5,74.9,61.9,1021.6,1019.8,11.8,15
8,2013,Adelaide,-34.9285,138.6007,SA,9.2,17.1,2.99,43.4,74,60.7,1016.8,1014.9,12.7,15.7
9,2013,Adelaide,-34.9285,138.6007,SA,13,22.5,0.76,46.5,54.6,47.1,1014.7,1012.1,17.8,21
10,2013,Adelaide,-34.9285,138.6007,SA,11.5,21.4,1.27,48,56,42.3,1017.5,1016,15.9,20.1
11,2013,Adelaide,-34.9285,138.6007,SA,13.4,25.4,0.19,39.5,46.5,33.3,1017.8,1015.8,18.3,24
12,2013,Adelaide,-34.9285,138.6007,SA,15,27.8,0.57,39.3,48.1,33.2,1015,1013.7,20.6,26.1
1,2014,Adelaide,-34.9285,138.6007,SA,18.7,33.2,0.34,40.7,43.6,25.6,1015.2,1013,24.4,31.7
2,2014,Adelaide,-34.9285,138.6007,SA,17.8,29.8,3.51,41.9,50.1,35.5,1013.9,1012.6,22.3,28.2
3,2014,Adelaide,-34.9285,138.6007,SA,15,27.3,0.79,34.9,65.3,42.4,1019.1,1017.2,19,25.7
4,2014,Adelaide,-34.9285,138.6007,SA,13.4,22.9,1.69,33.4,61.9,44.4,1019.3,1016.9,17.8,22
5,2014,Adelaide,-34.9285,138.6007,SA,11.5,19.7,2.56,33,69.9,54.7,1020.1,1017.7,15.3,18.9
6,2014,Adelaide,-34.9285,138.6007,SA,9.3,16.3,3.47,37.3,78.9,63.6,1021.7,1019.9,12.5,15.3
7,2014,Adelaide,-34.9285,138.6007,SA,8.2,15.3,3.21,40.2,76.7,61.5,1020.4,1018.3,10.9,14.3
8,2014,Adelaide,-34.9285,138.6007,SA,6.8,17.4,0.67,32.9,59.5,44.6,1029,1026.8,12.2,16.4
9,2014,Adelaide,-34.9285,138.6007,SA,10.8,20.9,1.05,40.6,53.8,40.2,1020.7,1018.3,16.2,19.7
10,2014,Adelaide,-34.9285,138.6007,SA,12.1,26,0.16,37.6,47.9,33.3,1019,1016.8,18.6,24.4
11,2014,Adelaide,-34.9285,138.6007,SA,14.2,26.5,0.87,36.7,47.9,34.5,1017.4,1015.5,19.6,25.2
12,2014,Adelaide,-34.9285,138.6007,SA,15.3,26.8,0.25,37.8,55.8,41.7,1013.1,1011.9,20.3,25.2
1,2015,Adelaide,-34.9285,138.6007,SA,17.5,28.7,1.34,42.6,55.3,41.9,1012.7,1011,21.6,27.1
2,2015,Adelaide,-34.9285,138.6007,SA,18.1,32.7,0.02,36.9,46.3,29.5,1017.4,1015.4,23.1,31
3,2015,Adelaide,-34.9285,138.6007,SA,14.6,25.5,0.09,35.8,58.4,37.8,1018.5,1016.9,18.1,24.2
4,2015,Adelaide,-34.9285,138.6007,SA,11,20.4,1.98,32.7,60.4,46.8,1023.3,1020.9,15.6,19.3
5,2015,Adelaide,-34.9285,138.6007,SA,10.6,18.6,2.87,33.1,73.1,58.4,1022.9,1021.1,14.2,17.3
6,2015,Adelaide,-34.9285,138.6007,SA,8.2,16.2,0.51,25.2,73.9,56,1026.9,1024.8,11.3,15.4
7,2015,Adelaide,-34.9285,138.6007,SA,6.7,14.7,2.37,32.8,74.9,59.4,1024.1,1022,9.9,13.6
8,2015,Adelaide,-34.9285,138.6007,SA,8.2,15.8,1.56,32,73.1,58.1,1022.9,1021,11.7,14.6
9,2015,Adelaide,-34.9285,138.6007,SA,9,19.2,1.74,33.8,52.3,45.7,1024.7,1022.4,14.9,18
10,2015,Adelaide,-34.9285,138.6007,SA,14,27.1,0.29,32,48.2,34,1022.4,1020.3,19.5,25.7
11,2015,Adelaide,-34.9285,138.6007,SA,14.3,27.6,0.35,34.1,48.4,36.3,1015.9,1014.1,20.5,25.6
12,2015,Adelaide,-34.9285,138.6007,SA,18.5,33.1,0.45,36.8,37.6,26.1,1015,1013.2,25.7,31.4
1,2016,Adelaide,-34.9285,138.6007,SA,18.1,31.2,1.7,35.2,47.6,31.9,1015,1013.1,23.3,29.5
2,2016,Adelaide,-34.9285,138.6007,SA,16.4,29.3,0.63,34.4,57.7,37.2,1016.7,1015,20.7,27.8
3,2016,Adelaide,-34.9285,138.6007,SA,16.8,28.6,1.74,28.3,59.5,39.8,1018.4,1016.5,20.5,27.2
4,2016,Adelaide,-34.9285,138.6007,SA,12.6,24.8,0.32,29.3,55.5,39.4,1022.5,1019.8,18.6,23.5
5,2016,Adelaide,-34.9285,138.6007,SA,12.4,19.8,2.84,35.2,71,58.3,1016.6,1014.6,15.4,18.6
6,2016,Adelaide,-34.9285,138.6007,SA,8.9,16,3.17,33.6,76.7,62.9,1018.7,1016.9,12.1,15
7,2016,Adelaide,-34.9285,138.6007,SA,8.1,15.3,3.61,35.9,76.1,63.4,1020.6,1018.3,11.1,14.3
8,2016,Adelaide,-34.9285,138.6007,SA,7.7,17.7,1.9,36.6,65.6,50.5,1020.8,1018.6,12.8,16.3
9,2016,Adelaide,-34.9285,138.6007,SA,9.1,17.4,4.37,35.8,66.3,58.5,1015.4,1013.1,13.5,15.9
10,2016,Adelaide,-34.9285,138.6007,SA,10.6,21,2.61,41.5,56.3,45,1015.9,1014.8,15.4,19.3
11,2016,Adelaide,-34.9285,138.6007,SA,12.1,24.7,1.11,34.8,51,39,1016,1014.3,18,23.3
12,2016,Adelaide,-34.9285,138.6007,SA,15.4,28.7,2.8,37.2,51.9,38.2,1013.3,1011.3,20.9,27
1,2017,Adelaide,-34.9285,138.6007,SA,18.2,30.7,1.52,35.4,53.8,37.5,1013.5,1011.9,22.8,29
2,2017,Adelaide,-34.9285,138.6007,SA,17.1,28.2,1.34,32.4,55.7,41.9,1015.9,1014.7,21.3,26.6
3,2017,Adelaide,-34.9285,138.6007,SA,17.4,28.8,1.41,32.3,59.7,43.8,1016.1,1014.5,21.1,27.2
4,2017,Adelaide,-34.9285,138.6007,SA,13.3,23.3,1.11,28.8,58.9,45.9,1023.6,1021.1,18.1,22.2
5,2017,Adelaide,-34.9285,138.6007,SA,9.4,19.2,1.65,27.5,66.5,49.3,1023.3,1021.1,14.1,18.2
6,2017,Adelaide,-34.9285,138.6007,SA,5.4,17.3,0.08,19.2,77.3,52,1030.6,1028.1,10,16.5
12,2008,Albury,-36.0737,146.9135,NSW,13.8,27.4,1.86,42.3,55.9,33.8,1009.3,1006.7,19.2,25.6
1,2009,Albury,-36.0737,146.9135,NSW,16.3,34.7,0.25,42.7,41.9,17.9,1013.1,1009.8,23,33
2,2009,Albury,-36.0737,146.9135,NSW,17.1,33.1,0.14,42.7,45.5,21.3,1013.2,1010.3,21.8,31.5
3,2009,Albury,-36.0737,146.9135,NSW,12.7,28.3,0.77,36.5,61.4,31.8,1017.1,1014.5,16.9,26.7
4,2009,Albury,-36.0737,146.9135,NSW,9,21.8,2.83,34.3,67.7,41.3,1019.8,1016.6,13.8,20.9
5,2009,Albury,-36.0737,146.9135,NSW,5.1,18.3,0.22,23.7,79.4,49.4,1024.5,1021.6,10,17.8
6,2009,Albury,-36.0737,146.9135,NSW,4.6,13.8,2.37,25.1,90.4,69.5,1018.6,1015.9,7.8,13.2
7,2009,Albury,-36.0737,146.9135,NSW,3.3,13.1,1.76,28.8,89.4,64.1,1019.2,1017.1,6.6,12.4
8,2009,Albury,-36.0737,146.9135,NSW,4.8,15.1,2,34.2,85,61,1017.3,1014.8,8.7,14.2
9,2009,Albury,-36.0737,146.9135,NSW,5.7,18.2,2.19,36.5,76.4,51.8,1014.9,1012,11.2,17
10,2009,Albury,-36.0737,146.9135,NSW,7.9,21.3,0.84,33.8,73.1,49.2,1019.1,1016.6,13,19.9
11,2009,Albury,-36.0737,146.9135,NSW,15.1,30.5,1.96,38.7,58.5,33.9,1015.3,1012.5,20.9,29.1
12,2009,Albury,-36.0737,146.9135,NSW,14.3,31,0.48,40.4,50.4,25.5,1015.2,1012.3,21.1,29.1
1,2010,Albury,-36.0737,146.9135,NSW,17.1,34.4,0.68,42.7,49.1,20.6,1012.1,1009.3,23.1,32.8
2,2010,Albury,-36.0737,146.9135,NSW,18.5,30.8,3.61,40.5,63.6,40.4,1015.7,1012.9,21.7,29.3
3,2010,Albury,-36.0737,146.9135,NSW,14.1,27.7,4.4,31.4,78.1,40.2,1021,1018.4,17,26.6
4,2010,Albury,-36.0737,146.9135,NSW,10.2,22.5,1.2,25.6,79.2,49.4,1020.8,1017.8,14.8,21.9
5,2010,Albury,-36.0737,146.9135,NSW,5.1,18.1,1.98,26,86,51.9,1019.7,1017,9.6,17.5
6,2010,Albury,-36.0737,146.9135,NSW,3.2,13.7,0.97,26.7,88.4,64.3,1024.6,1022.4,6.8,12.7
7,2010,Albury,-36.0737,146.9135,NSW,2.3,13.4,2.08,25.4,95.7,65.7,1025.8,1023.2,5.4,12.8
8,2010,Albury,-36.0737,146.9135,NSW,3.5,13.4,3.46,34.9,87.6,62.5,1017.2,1014.4,7.2,12.5
9,2010,Albury,-36.0737,146.9135,NSW,5.5,16.6,2.52,36.7,78.9,57.6,1019.4,1017,10.7,15.7
10,2010,Albury,-36.0737,146.9135,NSW,9.2,20.8,4.99,33.8,76.9,55.2,1020.1,1017.7,13.9,19.9
11,2010,Albury,-36.0737,146.9135,NSW,13.6,24.9,3.91,37.3,67.4,49.5,1017.8,1015.4,18.3,23.7
12,2010,Albury,-36.0737,146.9135,NSW,14.5,27.1,2.39,42.2,64.1,42.3,1011.1,1008.7,19.5,25.3
1,2011,Albury,-36.0737,146.9135,NSW,18,31.3,2.34,34.4,62,40.6,1011,1008.8,22.9,29.7
2,2011,Albury,-36.0737,146.9135,NSW,17,28.2,9.55,36,75.1,54.2,1015.4,1013.3,20,26.7
3,2011,Albury,-36.0737,146.9135,NSW,13.5,25.2,1.73,30.9,78.6,50.3,1016.2,1014.3,16.8,24.1
5,2011,Albury,-36.0737,146.9135,NSW,3.9,16.3,1.05,24.9,85.8,56.3,1021.3,1018.8,8.2,15.6
6,2011,Albury,-36.0737,146.9135,NSW,2.8,14.5,1.11,28,90.5,60.2,1023.1,1020.9,6.6,13.9
7,2011,Albury,-36.0737,146.9135,NSW,3.1,13,2.26,30.2,89.8,65.2,1022.9,1020.6,6.3,12.2
8,2011,Albury,-36.0737,146.9135,NSW,4,16.3,2.37,25.8,86.2,56.7,1022.5,1019.6,8.5,15.8
9,2011,Albury,-36.0737,146.9135,NSW,5.2,18.7,2.08,37.1,72.4,49.6,1018.6,1015.5,11.7,17.6
10,2011,Albury,-36.0737,146.9135,NSW,8.9,22.3,0.97,31.1,73.7,48.5,1018.9,1016.5,14,21.2
11,2011,Albury,-36.0737,146.9135,NSW,13.4,27,2.29,40,69,41.7,1014.8,1012.7,19,25.4
12,2011,Albury,-36.0737,146.9135,NSW,13.9,27.7,1.08,35.7,59.8,41,1014.3,1011.4,19.6,25.9
1,2012,Albury,-36.0737,146.9135,NSW,16.1,31.6,1.54,36.7,56.7,32.1,1013.9,1011,21.9,29.8
2,2012,Albury,-36.0737,146.9135,NSW,15.2,29.2,2.1,34.6,69.2,43.5,1013.7,1011.1,19.7,27.3
3,2012,Albury,-36.0737,146.9135,NSW,12.8,24.7,8.23,34.5,78.8,52.5,1016.2,1014.1,16.3,23.2
4,2012,Albury,-36.0737,146.9135,NSW,9,22.4,1.55,28.5,81.7,49.8,1021.6,1018.5,14.3,21.6
5,2012,Albury,-36.0737,146.9135,NSW,3.8,16.4,1.23,23.5,92.4,61.2,1023.6,1021,8.2,15.4
6,2012,Albury,-36.0737,146.9135,NSW,2.2,13.8,1.02,24.5,92.4,66.1,1021.6,1019.2,6.8,12.9
7,2012,Albury,-36.0737,146.9135,NSW,2.9,13.7,3.1,24.9,94.6,65.8,1024.7,1022.2,6.6,12.7
8,2012,Albury,-36.0737,146.9135,NSW,2.8,14.3,1.69,34.1,87.6,58.5,1019.5,1016.8,7.1,13.4
9,2012,Albury,-36.0737,146.9135,NSW,5,18.3,0.88,37.1,77.5,50,1018.3,1015.5,11.2,17
10,2012,Albury,-36.0737,146.9135,NSW,6.3,21.4,1.57,32.8,71.2,44.4,1019.1,1016.7,12.9,20.3
11,2012,Albury,-36.0737,146.9135,NSW,12.2,27.3,1.26,34.8,62.1,37.5,1015.8,1013.3,18.9,25.9
1,2013,Albury,-36.0737,146.9135,NSW,16.4,34.9,0.54,42.1,47.5,24,1011,1008.1,23.6,32.8
3,2013,Albury,-36.0737,146.9135,NSW,13.5,28.7,1.65,35.4,65.1,35.2,1018.1,1015.2,18.2,27
4,2013,Albury,-36.0737,146.9135,NSW,8.9,23,0.41,27.5,75.3,44.6,1021,1018.2,14.4,22
5,2013,Albury,-36.0737,146.9135,NSW,4.2,16.8,1.67,26.1,89,58.6,1022.6,1019.8,9,15.9
6,2013,Albury,-36.0737,146.9135,NSW,2.8,14.7,3.33,21.9,92.6,65.5,1022.4,1020.2,7,14
7,2013,Albury,-36.0737,146.9135,NSW,5.2,14.4,2.35,30,92.4,69.4,1024.6,1022.3,8.3,13.4
8,2013,Albury,-36.0737,146.9135,NSW,5.7,15,2.83,35.6,87.4,64.5,1017.5,1015,9.4,13.9
9,2013,Albury,-36.0737,146.9135,NSW,7.6,19.6,1.7,36.7,79.4,54.3,1016.9,1014.1,12.7,18.6
10,2013,Albury,-36.0737,146.9135,NSW,6.8,21.5,0.5,39.8,71.5,44.8,1016.7,1014.6,13,19.8
11,2013,Albury,-36.0737,146.9135,NSW,9.9,26.3,0.35,38.8,58.3,32.2,1015,1012.2,17,24.6
12,2013,Albury,-36.0737,146.9135,NSW,14.7,30.8,1.69,39.1,53.4,28.5,1013.7,1010.9,21.1,28.9
1,2014,Albury,-36.0737,146.9135,NSW,16.9,34,1.14,37.8,48.7,24.9,1014.5,1011.3,23.4,32
2,2014,Albury,-36.0737,146.9135,NSW,16.7,33.2,1.13,36.3,57.5,29.2,1013,1010.2,21.7,31.4
3,2014,Albury,-36.0737,146.9135,NSW,14.1,28.4,1.55,33.2,75.4,41.9,1019.3,1016.7,18.2,26.6
4,2014,Albury,-36.0737,146.9135,NSW,10.7,22,4.28,28.6,81.5,56.4,1019.4,1016.5,14.8,21.1
5,2014,Albury,-36.0737,146.9135,NSW,7.4,17.6,2.13,22.8,90.1,67.3,1022.2,1019.7,11.1,16.8
6,2014,Albury,-36.0737,146.9135,NSW,5.4,14,1.81,29.5,92.6,73.3,1021,1018.8,8.4,13.4
7,2014,Albury,-36.0737,146.9135,NSW,3.8,13.3,1.32,28.3,94.3,69,1021.4,1019,6.5,12.4
8,2014,Albury,-36.0737,146.9135,NSW,1.9,15.8,0.34,23.2,83.2,54.6,1028.3,1025.5,7.6,14.9
9,2014,Albury,-36.0737,146.9135,NSW,5.3,18.9,2.15,35.3,76,52.4,1020,1017,11.6,17.7
10,2014,Albury,-36.0737,146.9135,NSW,8.9,24.9,0.68,37.2,69.8,39.7,1018,1015.2,14.8,23.6
11,2014,Albury,-36.0737,146.9135,NSW,12.2,28.5,1.91,37.6,58.3,28.8,1015.5,1013,18.8,27.1
12,2014,Albury,-36.0737,146.9135,NSW,14.8,30,1.21,41.7,57.2,35.1,1011,1008.2,21.2,27.4
1,2015,Albury,-36.0737,146.9135,NSW,16.6,30.3,3.12,39.1,59.4,39.1,1011.7,1008.9,22,28.4
2,2015,Albury,-36.0737,146.9135,NSW,17.7,32.3,1.26,36.9,64.2,35.8,1017,1014.2,22.1,30.5
3,2015,Albury,-36.0737,146.9135,NSW,11.9,27.7,0.15,37.2,63.5,29.3,1016.3,1013.8,16,26.3
4,2015,Albury,-36.0737,146.9135,NSW,9.9,22,2.78,31,72.1,46.8,1020.2,1017.5,14.7,20.8
5,2015,Albury,-36.0737,146.9135,NSW,5.8,17,1.46,30.3,87.3,58.2,1023.3,1020.6,9.8,15.9
6,2015,Albury,-36.0737,146.9135,NSW,2.4,13.3,2.79,20.2,93.1,67.7,1027.3,1025,6.2,12.6
7,2015,Albury,-36.0737,146.9135,NSW,2.8,12.5,1.41,28.1,88.9,64,1023.6,1021.3,6.1,11.6
8,2015,Albury,-36.0737,146.9135,NSW,3.6,13.8,2.92,28.9,89.7,63.2,1021.3,1019.3,7.8,12.9
9,2015,Albury,-36.0737,146.9135,NSW,4.7,18.7,0.91,32.1,75.7,47.7,1023.7,1020.8,11.2,18
10,2015,Albury,-36.0737,146.9135,NSW,11,27,0.34,31.2,67.9,40,1023.4,1020.4,17,25.5
11,2015,Albury,-36.0737,146.9135,NSW,13.2,28,2.21,38.6,62.3,34.9,1014.7,1011.7,19.1,26.6
12,2015,Albury,-36.0737,146.9135,NSW,15.6,31.4,1.1,35.8,50.1,26.3,1016.3,1013.4,21.8,29.5
1,2016,Albury,-36.0737,146.9135,NSW,17.4,31.5,2.21,42,59,36.1,1013.8,1011.3,22.4,29
2,2016,Albury,-36.0737,146.9135,NSW,16.2,32.4,1.01,33.7,56.9,29.7,1014.3,1011.8,21.7,30.7
3,2016,Albury,-36.0737,146.9135,NSW,15.8,30.8,0.96,34,64.5,31.8,1017.8,1015.2,20,29.3
4,2016,Albury,-36.0737,146.9135,NSW,9.3,25.8,0.55,27.3,68.3,37.7,1023.1,1019.7,15.5,24.5
5,2016,Albury,-36.0737,146.9135,NSW,8.1,18.1,3.48,33.2,85.2,57.1,1018.1,1015.8,12,17.2
6,2016,Albury,-36.0737,146.9135,NSW,5.6,13.4,2.87,29.6,90.8,72.7,1019.1,1016.8,8.5,12.5
7,2016,Albury,-36.0737,146.9135,NSW,5.8,13.3,3.77,29.4,92.6,76,1020.4,1018.5,8.7,12.2
8,2016,Albury,-36.0737,146.9135,NSW,4,15.2,2.4,28.5,87.7,59.2,1022.8,1020.1,8.4,14.3
9,2016,Albury,-36.0737,146.9135,NSW,7.6,16.8,4.74,32.4,86.5,63.2,1015.3,1013.2,11.6,15.9
10,2016,Albury,-36.0737,146.9135,NSW,7.6,19.7,1.98,40.6,75.3,53.3,1016,1013.7,12.3,18.3
11,2016,Albury,-36.0737,146.9135,NSW,10.8,25.6,1.65,40.3,67.9,37.7,1013.3,1011,16.9,24.3
12,2016,Albury,-36.0737,146.9135,NSW,14.9,30.5,0.74,39.2,59.7,35.9,1012.2,1009.9,21.4,28
1,2017,Albury,-36.0737,146.9135,NSW,16.9,33.7,1.46,34.1,60,30.2,1011.7,1009.2,22.8,31.5
2,2017,Albury,-36.0737,146.9135,NSW,15.6,32.1,0.46,38.4,60.3,30.4,1014.7,1012.4,20.7,30.1
3,2017,Albury,-36.0737,146.9135,NSW,15.2,30.4,0.14,33.2,63,33.4,1016.9,1013.9,19.5,28.8
4,2017,Albury,-36.0737,146.9135,NSW,9,22.1,2.42,26.3,77.2,49.4,1022.9,1019.9,14.3,21.1
5,2017,Albury,-36.0737,146.9135,NSW,5.5,17.3,1.46,23.4,87.8,59.7,1023.9,1021.3,9.8,16.5
6,2017,Albury,-36.0737,146.9135,NSW,1.3,14.7,0.25,18.4,96.3,62.9,1029.1,1026.6,5.1,13.8
12,2008,Alice Springs,-23.698,133.8807,NT,20.9,34.6,1.77,42.9,37.8,29,1009.4,1005.9,28.1,32.8
1,2009,Alice Springs,-23.698,133.8807,NT,22.4,36.1,0.48,51.3,37.1,24.5,1008.5,1004.7,29.2,34.5
2,2009,Alice Springs,-23.698,133.8807,NT,20.8,36.5,0.32,47,26.2,13.6,1009,1005.1,29.1,35.5
3,2009,Alice Springs,-23.698,133.8807,NT,19.7,35.3,0.01,44.2,24.9,13.6,1013.9,1009.5,27.1,34.2
4,2009,Alice Springs,-23.698,133.8807,NT,13.5,28.9,0,38.9,30.5,16.8,1018.1,1014.3,21.1,28.1
5,2009,Alice Springs,-23.698,133.8807,NT,7.3,21.6,0.71,39.5,46.6,28.2,1021.5,1017.7,14.2,21
6,2009,Alice Springs,-23.698,133.8807,NT,6.4,20.7,0.08,31.8,56.1,30.2,1019.8,1016.4,12.8,20.1
7,2009,Alice Springs,-23.698,133.8807,NT,5,20.5,0,36,46.9,24.6,1022.6,1019,12.1,19.8
